output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
165,'t',74,1318,1959
166,'h',68,2600,357
167,'e',65,998,1639
168,' ',20,2280,37
169,'e',65,678,1319
170,'x',78,1960,2601
171,'p',70,358,999
172,'e',65,1640,2281
173,'r',72,38,679
174,'i',69,1320,1961
175,'m',6d,2602,359
176,'e',65,1000,1641
177,'n',6e,2282,39
178,'t',74,680,1321
179,'\n',0a,1962,2603
180,'\n',0a,360,1001
181,'d',64,1642,2283
182,'e',65,40,681
183,'c',63,1322,1963
184,'e',65,2604,361
185,'n',6e,1002,1643
186,'t',74,2284,41
187,'r',72,682,1323
188,'a',61,1964,2605
189,'l',6c,362,1003
190,'i',69,1644,2285
191,'z',7a,42,683
192,'a',61,1324,1965
193,'t',74,2606,363
194,'i',69,1004,1645
195,'o',6f,2286,43
196,'n',6e,684,1325
197,' ',20,1966,2607
198,'i',69,364,1005
199,'s',73,1646,2287
200,' ',20,44,685
201,'a',61,1326,1967
202,' ',20,2608,365
203,'d',64,1006,1647
204,'e',65,2288,45
205,'e',65,686,1327
206,'p',70,1968,2609
207,'e',65,366,1007
208,'r',72,1648,2289
209,' ',20,46,687
210,'d',64,1328,1969
211,'i',69,2610,367
212,'v',76,1008,1649
213,'e',65,2290,47
214,' ',20,688,1329
215,'t',74,1970,2611
216,'h',68,368,1009
217,'e',65,1650,2291
218,'n',6e,48,689
219,' ',20,1330,1971
220,'m',6d,2612,369
221,'o',6f,1010,1651
222,'s',73,2292,49
223,'t',74,690,1331
224,' ',20,1972,2613
225,'r',72,370,1011
226,'e',65,1652,2293
227,'a',61,50,691
228,'l',6c,1332,1973
229,'i',69,2614,371
230,'z',7a,1012,1653
231,'e',65,2294,51
232,'.',2e,692,1333
233,' ',20,1974,2615
234,'i',69,372,1013
235,'t',74,1654,2295
236,' ',20,52,693
237,'a',61,1334,1975
238,'c',63,2616,373
239,'t',74,1014,1655
240,'u',75,2296,53
241,'a',61,694,1335
242,'l',6c,1976,2617
243,'l',6c,374,1015
244,'y',79,1656,2297
245,' ',20,54,695
246,'m',6d,1336,1977
247,'e',65,2618,375
248,'a',61,1016,1657
249,'n',6e,2298,55
250,'s',73,696,1337
251,' ',20,1978,2619
252,"""'""",27,376,1017
253,'n',6e,1658,2299
254,'o',6f,56,697
255,' ',20,1338,1979
256,'d',64,2620,377
257,'e',65,1018,1659
258,'v',76,2300,57
259,'s',73,698,1339
260,"""'""",27,1980,2621
261,' ',20,378,1019
262,' ',20,1660,2301
263,'n',6e,58,699
264,'o',6f,1340,1981
265,' ',20,2622,379
266,'h',68,1020,1661
267,'i',69,2302,59
268,'d',64,700,1341
269,'d',64,1982,2623
270,'e',65,380,1021
271,'n',6e,1662,2303
272,' ',20,60,701
273,'h',68,1342,1983
274,'a',61,2624,381
275,'n',6e,1022,1663
276,'d',64,2304,61
277,"','",2c,702,1343
278,' ',20,1984,2625
279,'n',6e,382,1023
280,'o',6f,1664,2305
281,'b',62,62,703
282,'o',6f,1344,1985
283,'d',64,2626,383
284,'y',79,1024,1665
285,' ',20,2306,63
286,'t',74,704,1345
287,'o',6f,1986,2627
288,' ',20,384,1025
289,'w',77,1666,2307
290,'a',61,64,705
291,'i',69,1346,1987
292,'t',74,2628,385
293,' ',20,1026,1667
294,'o',6f,2308,65
295,'n',6e,706,1347
296,' ',20,1988,2629
297,'t',74,386,1027
298,'o',6f,1668,2309
299,' ',20,66,707
300,'d',64,1348,1989
301,'o',6f,2630,387
302,' ',20,1028,1669
303,'t',74,2310,67
304,'h',68,708,1349
305,'e',65,1990,2631
306,' ',20,388,1029
307,'n',6e,1670,2311
308,'e',65,68,709
309,'e',65,1350,1991
310,'d',64,2632,389
311,'e',65,1030,1671
312,'d',64,2312,69
313,'.',2e,710,1351
314,' ',20,1992,2633
315,' ',20,390,1031
316,'i',69,1672,2313
317,'f',66,70,711
318,' ',20,1352,1993
319,'y',79,2634,391
320,'o',6f,1032,1673
321,'u',75,2314,71
322,' ',20,712,1353
323,'a',61,1994,2635
324,'r',72,392,1033
